cell_name,colleague_label,colleague_retention,colleague_max_cycle,status,exclusion_reason,last_fade_cycle,final_retention,n_regular,truncation_cycle,label_n300,trainable_n300,category,cohort
0MC2-251222-001,bad,0.811033,58,faded,,43,0.7988572533886615,59,,bad,true,agree_bad,0MC2
0MC2-251222-002,bad,0.838798,19,faded,,15,0.7948172826091702,20,,bad,true,agree_bad,0MC2
0MC2-251222-004,bad,0.816939,40,faded,,30,0.7980720249515583,41,,bad,true,agree_bad,0MC2
0MC2-251222-005,bad,0.812008,44,faded,,35,0.7998020164800617,45,,bad,true,agree_bad,0MC2
AR3771,bad,0.837348,340,faded,,279,0.7993935147326501,341,,bad,true,agree_bad,AR
AR3865,bad,0.806452,246,faded,,189,0.7981384476840412,247,,bad,true,agree_bad,AR
AR3915,bad,0.844233,315,faded,,300,0.8436002572603639,316,,bad,true,agree_bad,AR
AR3952,bad,0.822373,37,faded,,30,0.7975556481072215,38,,bad,true,agree_bad,AR
AR3953,bad,0.823937,36,faded,,29,0.7987404485326935,37,,bad,true,agree_bad,AR
AR3973,bad,0.832203,252,faded,,155,0.7996193538014944,253,,bad,true,agree_bad,AR
AR3974,bad,0.835523,195,faded,,126,0.799753351357889,196,,bad,true,agree_bad,AR
AR3977,bad,0.822297,114,faded,,82,0.7990296268482182,115,,bad,true,agree_bad,AR
AR3978,bad,0.807201,157,faded,,126,0.8005787999760491,156,,bad,true,agree_bad,AR
AR3979,bad,0.81931,105,faded,,73,0.799605885618586,106,,bad,true,agree_bad,AR
AR3980,bad,0.809537,216,faded,,149,0.7991435720324823,217,,bad,true,agree_bad,AR
AR3981,bad,0.811504,304,faded,,221,0.799749534961865,305,,bad,true,agree_bad,AR
AR3982,bad,0.809877,95,faded,,69,0.7985414839807432,96,,bad,true,agree_bad,AR
AR3983,bad,0.817453,91,faded,,68,0.7984755606994522,92,,bad,true,agree_bad,AR
AR3985,bad,0.812371,94,faded,,66,0.7996638667747377,95,,bad,true,agree_bad,AR
AR4018,bad,0.817067,118,faded,,67,0.7997388599377623,119,,bad,true,agree_bad,AR
AR4019,bad,0.804578,154,faded,,111,0.7995657488062481,155,,bad,true,agree_bad,AR
AR4020,bad,0.807309,207,faded,,139,0.7993985353384361,208,,bad,true,agree_bad,AR
AR4021,bad,0.814589,68,faded,,50,0.7981362252128033,69,,bad,true,agree_bad,AR
AR4024,bad,0.80618,238,faded,,159,0.7976607268294142,239,,bad,true,agree_bad,AR
AR4078,bad,0.83297,346,faded,,259,0.7996684293401636,347,,bad,true,agree_bad,AR
AR4088,bad,0.843818,24,faded,,16,0.7990684859926002,25,,bad,true,agree_bad,AR
AR4127,bad,0.812353,112,faded,,67,0.7992849739102297,113,,bad,true,agree_bad,AR
AR4128,bad,0.826495,319,faded,,271,0.7993240718143234,320,,bad,true,agree_bad,AR
AR4163,bad,0.809273,251,faded,,224,0.7993964016834532,252,,bad,true,agree_bad,AR
AR4164,bad,0.81039,238,faded,,208,0.7985574175836777,239,,bad,true,agree_bad,AR
AR4165,bad,0.8193,114,faded,,63,0.7997287923905901,115,,bad,true,agree_bad,AR
AR4167,bad,0.810491,285,faded,,249,0.7999065932780905,286,,bad,true,agree_bad,AR
AR4216,bad,0.811086,254,faded,,138,0.7998977206282541,255,,bad,true,agree_bad,AR
AR4239,bad,0.826944,73,faded,,40,0.7978558574017846,74,,bad,true,agree_bad,AR
AR4246,bad,0.823313,162,faded,,71,0.7997220066229382,163,,bad,true,agree_bad,AR
AR4261,bad,0.822613,77,faded,,44,0.7997470236232695,78,,bad,true,agree_bad,AR
AR4292,bad,0.817308,150,faded,,95,0.7992321943342778,151,,bad,true,agree_bad,AR
AR4293,bad,0.824238,125,faded,,84,0.8090667631407769,125,,bad,true,agree_bad,AR
AR4317,bad,0.797389,264,faded,,182,0.7996718413183083,265,,bad,true,agree_bad,AR
AR4318,bad,0.798909,169,faded,,115,0.7994050998903383,170,,bad,true,agree_bad,AR
AR4319,bad,0.802913,156,faded,,103,0.7991537743624291,157,,bad,true,agree_bad,AR
AR4394,bad,0.837635,62,faded,,45,0.8168556846871181,63,,bad,true,agree_bad,AR
AR4402,bad,0.811968,108,faded,,64,0.7969472688761547,109,,bad,true,agree_bad,AR
AR4410,bad,0.799666,233,faded,,163,0.7985020899560502,234,,bad,true,agree_bad,AR
AR4411,bad,0.802501,253,faded,,178,0.7989829854932955,254,,bad,true,agree_bad,AR
AR4412,bad,0.796272,252,faded,,199,0.7992137519285001,261,,bad,true,agree_bad,AR
AR4427,bad,0.821175,86,faded,,46,0.7996488591286658,87,,bad,true,agree_bad,AR
AR4428,bad,0.830026,52,faded,,32,0.7995832547965063,53,,bad,true,agree_bad,AR
AR4433,bad,0.81146,103,faded,,77,0.7978504585876194,104,,bad,true,agree_bad,AR
AR4434,bad,0.808919,71,faded,,54,0.7994499181456225,72,,bad,true,agree_bad,AR
0MC2-251022-001,good,0.896282,503,faded,,393,0.7969023840415249,503,,pass,true,agree_pass,0MC2
0MC2-251022-002,good,0.866004,395,faded,,317,0.8025742294665175,395,,pass,true,agree_pass,0MC2
0MC2-251022-003,good,0.926073,540,faded,,692,0.8261820722171186,813,,pass,true,agree_pass,0MC2
0MC2-251022-004,good,0.319473,571,faded,,797,0.848123742491671,842,,pass,true,agree_pass,0MC2
0MC2-251029-001,good,0.931669,522,in_testing,,,0.9052173840725899,465,,pass,true,agree_pass,0MC2
0MC2-251029-002,good,0.935321,518,in_testing,,,0.9051463990789502,457,,pass,true,agree_pass,0MC2
0MC2-251029-003,good,0.925598,503,in_testing,,,0.893655418011449,445,445,pass,true,agree_pass,0MC2
0MC2-251107-006,good,0.932419,440,in_testing,,,0.883935548598309,600,,pass,true,agree_pass,0MC2
0MC2-251107-010,good,0.927023,452,in_testing,,,0.8706830612114226,618,,pass,true,agree_pass,0MC2
0MC2-251111-003,good,0.929736,450,in_testing,,,0.8765845711289626,611,,pass,true,agree_pass,0MC2
0MC2-251111-008,good,0.936399,476,in_testing,,,0.8866573486567119,650,,pass,true,agree_pass,0MC2
AR3684,good,0.924333,938,faded,,604,0.799568049364562,939,,pass,true,agree_pass,AR
AR3685,good,0.892956,678,faded,,524,0.7996397797251751,679,,pass,true,agree_pass,AR
AR3772,good,0.893987,702,faded,,443,0.7985501442886356,703,,pass,true,agree_pass,AR
AR3773,good,0.878659,578,faded,,418,0.7988868613019162,579,,pass,true,agree_pass,AR
AR3774,good,0.883835,611,faded,,415,0.7998850359507537,612,,pass,true,agree_pass,AR
AR3776,good,0.887944,668,faded,,418,0.7978113321149731,669,,pass,true,agree_pass,AR
AR3854,good,0.898159,589,faded,,513,0.7879155165211538,590,,pass,true,agree_pass,AR
AR3864,good,0.894143,478,faded,,373,0.799909971250378,479,,pass,true,agree_pass,AR
AR3867,good,0.862175,454,faded,,326,0.79986976538363,455,,pass,true,agree_pass,AR
AR3870,good,0.934978,676,faded,,532,0.7995687344966171,677,,pass,true,agree_pass,AR
AR3871,good,0.875919,565,faded,,421,0.799198395028701,566,,pass,true,agree_pass,AR
AR3872,good,0.898,476,faded,,381,0.7995957082914743,477,,pass,true,agree_pass,AR
AR3873,good,0.89387,485,faded,,381,0.799992965245891,486,,pass,true,agree_pass,AR
AR3875,good,0.895606,583,faded,,432,0.79963138678702,584,,pass,true,agree_pass,AR
AR3876,good,0.869996,392,faded,,324,0.7995093902788654,393,,pass,true,agree_pass,AR
AR3877,good,0.877694,405,faded,,335,0.7994378067899901,406,,pass,true,agree_pass,AR
AR3879,good,0.906782,649,faded,,473,0.7996392209494768,650,,pass,true,agree_pass,AR
AR3883,good,0.942142,744,faded,,545,0.7998766781485082,745,,pass,true,agree_pass,AR
AR3884,good,0.951653,729,faded,,690,0.7997315941925193,832,,pass,true,agree_pass,AR
AR3885,good,0.955,725,faded,,649,0.7999795856077447,791,,pass,true,agree_pass,AR
AR3886,good,0.95684,735,in_testing,,,0.9071993189922197,914,,pass,true,agree_pass,AR
AR3887,good,0.896177,742,faded,,525,0.79993039356697,743,,pass,true,agree_pass,AR
AR3891,good,0.925982,764,faded,,627,0.799979656635933,833,,pass,true,agree_pass,AR
AR3908,good,0.887904,654,faded,,448,0.7992543519910439,655,,pass,true,agree_pass,AR
AR3909,good,0.885709,335,in_testing,,,0.8680078164732437,336,,pass,true,agree_pass,AR
AR3910,good,0.87551,310,in_testing,,,0.8665779690821244,311,,pass,true,agree_pass,AR
AR3911,good,0.866594,434,faded,,340,0.7991279667670047,435,,pass,true,agree_pass,AR
AR3914,good,0.94728,767,in_testing,,,0.8569021776785541,961,,pass,true,agree_pass,AR
AR3917,good,0.907498,786,faded,,565,0.8054207439112744,787,,pass,true,agree_pass,AR
AR3918,good,0.920694,763,faded,,604,0.8218901236896818,764,,pass,true,agree_pass,AR
AR3919,good,0.944493,714,in_testing,,,0.8795060049105966,715,,pass,true,agree_pass,AR
AR3920,good,0.939682,722,faded,,723,0.8553517395208841,723,723,pass,true,agree_pass,AR
AR3921,good,0.897462,742,faded,,519,0.7995019642949456,743,,pass,true,agree_pass,AR
AR3922,good,0.926836,764,faded,,699,0.840318334550556,765,,pass,true,agree_pass,AR
AR3923,good,0.93346,723,faded,,677,0.8484841449947405,679,,pass,true,agree_pass,AR
AR3924,good,0.941625,713,in_testing,,,0.8625547000058275,647,,pass,true,agree_pass,AR
AR3941,good,0.934692,703,faded,,622,0.799144932792341,740,,pass,true,agree_pass,AR
AR3942,good,0.950102,709,faded,,848,0.8393011953741459,904,,pass,true,agree_pass,AR
AR3944,good,0.880609,436,faded,,333,0.7997968932921269,437,,pass,true,agree_pass,AR
AR3949,good,0.883202,609,faded,,422,0.7997152821402537,610,,pass,true,agree_pass,AR
AR3951,good,0.90401,762,faded,,540,0.8080955487554252,763,,pass,true,agree_pass,AR
AR3961,good,0.878947,697,faded,,448,0.7999354921920117,725,,pass,true,agree_pass,AR
AR3962,good,0.898987,676,faded,,478,0.7997668559321306,861,,pass,true,agree_pass,AR
AR3963,good,0.893234,629,faded,,459,0.8113745609342061,608,,pass,true,agree_pass,AR
AR3964,good,0.885539,638,faded,,431,0.8052616239234478,619,,pass,true,agree_pass,AR
AR3966,good,0.905474,677,faded,,508,0.7999094669274666,751,,pass,true,agree_pass,AR
AR3967,good,0.858237,452,faded,,318,0.7999528059457954,453,,pass,true,agree_pass,AR
AR3968,good,0.882589,537,faded,,416,0.8008058192992071,536,,pass,true,agree_pass,AR
AR3970,good,0.901273,627,faded,,465,0.7999884973512842,628,,pass,true,agree_pass,AR
AR3971,good,0.893321,691,faded,,469,0.7993344833835007,718,,pass,true,agree_pass,AR
AR3972,good,0.913315,696,faded,,715,0.8207694069764099,884,,pass,true,agree_pass,AR
AR3975,good,0.874632,625,faded,,410,0.7999894207662875,626,,pass,true,agree_pass,AR
AR3976,good,0.862699,591,faded,,351,0.8001515768797993,590,,pass,true,agree_pass,AR
AR3993,good,0.872078,464,faded,,335,0.7999904624193234,465,,pass,true,agree_pass,AR
AR4035,good,0.935347,567,in_testing,,,0.9040617215834355,502,,pass,true,agree_pass,AR
AR4037,good,0.933115,326,in_testing,,,0.92526919738758,325,,pass,true,agree_pass,AR
AR4038,good,0.928345,323,in_testing,,,0.9168149667671341,321,,pass,true,agree_pass,AR
AR4039,good,0.943389,324,in_testing,,,0.9368205134390261,323,,pass,true,agree_pass,AR
AR4042,good,0.886316,611,faded,,484,0.7992862070005949,773,,pass,true,agree_pass,AR
AR4053,good,0.906503,325,in_testing,,,0.9052373367381523,324,,pass,true,agree_pass,AR
AR4055,good,0.889771,538,faded,,410,0.8293118650141761,473,,pass,true,agree_pass,AR
AR4070,good,0.897862,317,in_testing,,,0.8939729381977235,315,,pass,true,agree_pass,AR
AR4071,good,0.907714,556,faded,,734,0.848473220059675,734,,pass,true,agree_pass,AR
AR4072,good,0.897712,565,faded,,549,0.8092334439326704,749,,pass,true,agree_pass,AR
AR4080,good,0.936876,566,faded,,754,0.8276642035688337,754,754,pass,true,agree_pass,AR
AR4086,good,0.886529,547,faded,,439,0.8390323343092896,479,,pass,true,agree_pass,AR
AR4095,good,0.906784,532,faded,,611,0.8350148998766076,711,,pass,true,agree_pass,AR
AR4098,good,0.914491,534,in_testing,,,0.8585298937958019,709,,pass,true,agree_pass,AR
AR4100,good,0.918685,532,faded,,709,0.8484020386820368,710,,pass,true,agree_pass,AR
AR4102,good,0.899456,530,faded,,523,0.8473006692126851,528,,pass,true,agree_pass,AR
AR4109,good,0.946296,546,in_testing,,,0.8964262521753396,723,,pass,true,agree_pass,AR
AR4110,good,0.941544,551,in_testing,,,0.8810369473291525,731,,pass,true,agree_pass,AR
AR4111,good,0.923525,566,in_testing,,,0.8716602330546269,568,,pass,true,agree_pass,AR
AR4130,good,0.886302,496,faded,,428,0.7999081364808384,621,,pass,true,agree_pass,AR
AR4131,good,0.865432,505,faded,,317,0.7815774956282696,518,,pass,true,agree_pass,AR
AR4168,good,0.87359,459,faded,,356,0.7833273360346403,563,,pass,true,agree_pass,AR
AR4170,good,0.910281,472,faded,,569,0.8292202041801882,653,,pass,true,agree_pass,AR
AR4177,good,0.934099,461,in_testing,,,0.8933790701796619,631,,pass,true,agree_pass,AR
AR4179,good,0.945079,455,in_testing,,,0.9160937665729041,622,,pass,true,agree_pass,AR
AR4181,good,0.928524,462,in_testing,,,0.8657907085155906,637,,pass,true,agree_pass,AR
AR4184,good,0.917669,477,faded,,534,0.819184227015192,663,,pass,true,agree_pass,AR
AR4185,good,0.955433,437,in_testing,,,0.9122029269217573,603,,pass,true,agree_pass,AR
AR4187,good,0.954293,438,in_testing,,,0.9180030111654484,605,,pass,true,agree_pass,AR
AR4188,good,0.955597,436,in_testing,,,0.9107231536244743,602,,pass,true,agree_pass,AR
AR4193,good,0.953027,430,in_testing,,,0.9471588014622354,313,,pass,true,agree_pass,AR
AR4194,good,0.950362,430,in_testing,,,0.9448977684351819,314,,pass,true,agree_pass,AR
AR4197,good,0.937251,440,faded,,588,0.8413931918547904,615,,pass,true,agree_pass,AR
AR4198,good,0.944827,428,in_testing,,,0.8806444973569638,593,,pass,true,agree_pass,AR
AR4217,good,0.906655,440,faded,,570,0.83093288147172,620,,pass,true,agree_pass,AR
AR4230,good,0.895454,493,in_testing,,,0.8532676628266763,492,,pass,true,agree_pass,AR
AR4231,good,0.893225,496,faded,,387,0.8276697703486304,495,,pass,true,agree_pass,AR
AR4232,good,0.913804,425,faded,,585,0.8463841656556567,591,,pass,true,agree_pass,AR
AR4233,good,0.909393,449,faded,,621,0.8340906847898054,626,,pass,true,agree_pass,AR
AR4240,good,0.927908,489,faded,,518,0.799700869910608,657,,pass,true,agree_pass,AR
AR4242,good,0.867278,434,faded,,324,0.7999516523924015,434,,pass,true,agree_pass,AR
AR4244,good,0.929656,462,faded,,611,0.8392660395785115,640,,pass,true,agree_pass,AR
AR4255,good,0.927172,465,in_testing,,,0.861820220544795,642,,pass,true,agree_pass,AR
AR4256,good,0.900133,461,faded,,415,0.7999221063878856,533,,pass,true,agree_pass,AR
AR4259,good,0.92835,394,in_testing,,,0.8906294963737442,568,,pass,true,agree_pass,AR
AR4267,good,0.910351,394,in_testing,,,0.8604181485772653,567,,pass,true,agree_pass,AR
AR4270,good,0.914926,384,in_testing,,,0.8525221121382596,559,,pass,true,agree_pass,AR
AR4271,good,0.899966,390,faded,,469,0.8237670897680355,570,,pass,true,agree_pass,AR
AR4273,good,0.936457,506,faded,,667,0.8333775678130664,740,,pass,true,agree_pass,AR
AR4275,good,0.949064,376,in_testing,,,0.9217069460329333,542,,pass,true,agree_pass,AR
AR4276,good,0.936287,387,in_testing,,,0.9012858614678169,556,,pass,true,agree_pass,AR
